sep=|
algoritmo|api|cenario|tamanho|iteracao|tempo_s|corretude|threads_blocos
bitonic_sort|cuda|aleatorio|262144|2|0,003750|1|256x512
bitonic_sort|cuda|aleatorio|262144|3|0,003745|1|256x512
bitonic_sort|cuda|aleatorio|262144|4|0,003753|1|256x512
bitonic_sort|cuda|aleatorio|262144|5|0,003738|1|256x512
bitonic_sort|cuda|aleatorio|262144|6|0,003868|1|256x512
bitonic_sort|cuda|aleatorio|262144|7|0,003751|1|256x512
bitonic_sort|cuda|aleatorio|262144|8|0,003741|1|256x512
bitonic_sort|cuda|aleatorio|262144|9|0,003726|1|256x512
bitonic_sort|cuda|aleatorio|262144|10|0,003728|1|256x512
bitonic_sort|cuda|aleatorio|1048576|1|0,003978|1|256x2048
bitonic_sort|cuda|aleatorio|1048576|2|0,003973|1|256x2048
bitonic_sort|cuda|aleatorio|1048576|3|0,004296|1|256x2048
bitonic_sort|cuda|aleatorio|1048576|4|0,003963|1|256x2048
bitonic_sort|cuda|aleatorio|1048576|5|0,003956|1|256x2048
bitonic_sort|cuda|aleatorio|1048576|6|0,004276|1|256x2048
bitonic_sort|cuda|aleatorio|1048576|7|0,004277|1|256x2048
bitonic_sort|cuda|aleatorio|1048576|8|0,004272|1|256x2048
bitonic_sort|cuda|aleatorio|1048576|9|0,003943|1|256x2048
bitonic_sort|cuda|aleatorio|1048576|10|0,003935|1|256x2048
bitonic_sort|cuda|aleatorio|4194304|1|0,005205|1|256x8192
bitonic_sort|cuda|aleatorio|4194304|2|0,005196|1|256x8192
bitonic_sort|cuda|aleatorio|4194304|3|0,005175|1|256x8192
bitonic_sort|cuda|aleatorio|4194304|4|0,005155|1|256x8192
bitonic_sort|cuda|aleatorio|4194304|5|0,005145|1|256x8192
bitonic_sort|cuda|aleatorio|4194304|6|0,005119|1|256x8192
bitonic_sort|cuda|aleatorio|4194304|7|0,005097|1|256x8192
bitonic_sort|cuda|aleatorio|4194304|8|0,005023|1|256x8192
bitonic_sort|cuda|aleatorio|4194304|9|0,004986|1|256x8192
bitonic_sort|cuda|aleatorio|4194304|10|0,004925|1|256x8192
bitonic_sort|cuda|aleatorio|16777216|1|0,028841|1|256x32768
bitonic_sort|cuda|aleatorio|16777216|2|0,027563|1|256x32768
bitonic_sort|cuda|aleatorio|16777216|3|0,032859|1|256x32768
bitonic_sort|cuda|aleatorio|16777216|4|0,040342|1|256x32768
bitonic_sort|cuda|aleatorio|16777216|5|0,039988|1|256x32768
bitonic_sort|cuda|aleatorio|16777216|6|0,039857|1|256x32768
bitonic_sort|cuda|aleatorio|16777216|7|0,039113|1|256x32768
bitonic_sort|cuda|aleatorio|16777216|8|0,039146|1|256x32768
bitonic_sort|cuda|aleatorio|16777216|9|0,038248|1|256x32768
bitonic_sort|cuda|aleatorio|16777216|10|0,037932|1|256x32768
bitonic_sort|cuda|aleatorio|67108864|1|0,513701|1|256x131072
bitonic_sort|cuda|aleatorio|67108864|2|0,484032|1|256x131072
bitonic_sort|cuda|aleatorio|67108864|3|0,451091|1|256x131072
bitonic_sort|cuda|aleatorio|67108864|4|0,401187|1|256x131072
bitonic_sort|cuda|aleatorio|67108864|5|0,565559|1|256x131072
bitonic_sort|cuda|aleatorio|67108864|6|0,540108|1|256x131072
bitonic_sort|cuda|aleatorio|67108864|7|0,514508|1|256x131072
bitonic_sort|cuda|aleatorio|67108864|8|0,485808|1|256x131072
bitonic_sort|cuda|aleatorio|67108864|9|0,449507|1|256x131072
bitonic_sort|cuda|aleatorio|67108864|10|0,413622|1|256x131072
bitonic_sort|cudadp|aleatorio|1024|1|0,003898|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1024|2|0,003804|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1024|3|0,003796|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1024|4|0,003796|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1024|5|0,003787|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1024|6|0,003802|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1024|7|0,003794|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1024|8|0,003838|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1024|9|0,003788|1|1x1_dp
bitonic_sort|cudadp|aleatorio|1024|10|0,003786|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4096|1|0,003916|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4096|2|0,003900|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4096|3|0,003899|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4096|4|0,003899|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4096|5|0,003984|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4096|6|0,003893|1|1x1_dp
bitonic_sort|cudadp|aleatorio|4096|7|0,003891|1|1x1_dp
