algoritmo|api|hardware|tamanho|iteracao|tempo_total_s|energia_gpu_j|energia_cpu_j|corretude
sssp|cuda|rtx4090|1000x4000|5|0,258827|34,4085|26,24|OK
sssp|cuda|rtx4090|1000x4000|6|0,220801|27,2314|17,4|OK
sssp|cuda|rtx4090|1000x4000|7|0,207686|20,5921|13,52|OK
sssp|cuda|rtx4090|1000x4000|8|0,198055|18,9539|13,46|OK
sssp|cuda|rtx4090|1000x4000|9|0,225371|19,2084|14,92|OK
sssp|cuda|rtx4090|1000x4000|10|0,225432|19,3376|15,59|OK
sssp|cuda|rtx4090|200000x400000|1|0,96823|135,9153|57,66|OK
sssp|cuda|rtx4090|200000x400000|2|0,944899|119,4352|57,94|OK
sssp|cuda|rtx4090|200000x400000|3|0,14015|14,8377|13,41|OK
sssp|cuda|rtx4090|200000x400000|4|0,961253|114,6823|59,94|OK
sssp|cuda|rtx4090|200000x400000|5|0,940021|121,5635|57,78|OK
sssp|cuda|rtx4090|200000x400000|6|0,923881|116,7647|59,84|OK
sssp|cuda|rtx4090|200000x400000|7|0,114549|12,1502|9,34|OK
sssp|cuda|rtx4090|200000x400000|8|0,900295|85,429|57,82|OK
sssp|cuda|rtx4090|200000x400000|9|0,136796|19,7356|11,23|OK
sssp|cuda|rtx4090|200000x400000|10|0,115993|11,8777|10,74|OK
sssp|openmp|rtx4090|100000x300000|1|2,658498|375,5394|423,03|OK
sssp|openmp|rtx4090|100000x300000|2|2,877462|409,6163|456,51|OK
sssp|openmp|rtx4090|100000x300000|3|3,028222|430,7192|487,25|OK
sssp|openmp|rtx4090|100000x300000|4|2,840515|416,5899|449,76|OK
sssp|openmp|rtx4090|100000x300000|5|0,158725|23,1627|18,19|OK
sssp|openmp|rtx4090|100000x300000|6|2,96444|424,6659|465,16|OK
sssp|openmp|rtx4090|100000x300000|7|2,942121|417,0849|475,93|OK
sssp|openmp|rtx4090|100000x300000|8|2,773467|385,8447|431,33|OK
sssp|openmp|rtx4090|100000x300000|9|2,75784|390,6848|434,52|OK
sssp|openmp|rtx4090|100000x300000|10|2,928282|427,9587|469,23|OK
sssp|openmp|rtx4090|10000x30000|1|0,64299|99,387|93,78|OK
sssp|openmp|rtx4090|10000x30000|2|0,635423|95,9743|89,66|OK
sssp|openmp|rtx4090|10000x30000|3|0,726308|103,8548|104,37|OK
sssp|openmp|rtx4090|10000x30000|4|0,608485|89,8915|88,51|OK
